instance,ratio,k_mode,split_mode,converged,time,nodes,total_depth,depth_attempts,final_depth_iterations,total_iterations,m_states,Ff,Fb,min_frontier,max_frontier,min_over_m,max_over_m,geo_over_m,prod_over_m2,imbalance,iter0_fill_ratio,iter1_fill_ratio
8,0.01,k1,fixed,True,0.756173,17725976,46,8,2,16,4733.155555555555,248825,122910,122910,248825,25.967876727764427,52.57063645582933,36.947906665805775,1365.1478069850946,2.0244487836628426,0.424157,0.209261
8,0.01,optk,dynamic,True,0.811601,18393137,46,8,2,15,4733.155555555555,258364,99883,99883,258364,21.102834848257213,54.58599384014423,33.93993537172028,1151.9192130365493,2.5866663996876347,0.402184,0.204186
8,0.01,optk,fixed,True,0.756173,17725976,46,8,2,16,4733.155555555555,248825,122910,122910,248825,25.967876727764427,52.57063645582933,36.947906665805775,1365.1478069850946,2.0244487836628426,0.424157,0.209261
8,0.1,k1,dynamic,True,0.563873,12168076,46,8,2,14,48059.73333333333,258364,12391,12391,258364,0.25782498446377844,5.3758933327414775,1.1773018368256296,1.3860396149930014,20.85094019853119,0.0493529,0.00274982
8,0.1,k1,fixed,True,0.657939,12475106,46,8,2,14,48059.73333333333,248825,15189,15189,248825,0.31604420055042615,5.177411166104404,1.2791758178265862,1.636290772912316,16.381921127131477,0.0529559,0.00284553
8,0.1,optk,dynamic,True,0.499366,12168076,46,8,2,14,48059.73333333333,258364,141,141,258364,0.0029338489879261365,5.3758933327414775,0.1255868592387852,0.01577205921346245,1832.3687943262412,0.223661,0.000168771
8,0.1,optk,fixed,True,0.541365,12475106,46,8,2,14,48059.73333333333,248825,230,230,248825,0.004785711115056819,5.177411166104404,0.15740900280747963,0.02477759416484513,1081.8478260869565,0.238204,0.000228882
8,0.5,k1,dynamic,True,0.576926,12168076,46,8,2,14,239934.57777777777,258364,2366,2366,258364,0.009861021374715478,1.076810197150038,0.10304585566925102,0.010618448370608113,109.19864750633981,0.010089,0.000106696
8,0.5,k1,fixed,True,0.611005,12475106,46,8,2,14,239934.57777777777,248825,3037,3037,248825,0.012657617039311456,1.0370535264427636,0.11457149028872742,0.01312662638697996,81.93118208758644,0.0108396,0.000117625
8,0.5,optk,dynamic,True,0.582151,12168076,46,8,2,14,239934.57777777777,258364,3,3,258364,1.2503408336494689e-05,1.076810197150038,0.0036693047837251503,1.3463797595868274e-05,86121.33333333333,0.215956,6.66848e-06
8,0.5,optk,fixed,True,0.612255,12475106,46,8,2,14,239934.57777777777,248825,3,3,248825,1.2503408336494689e-05,1.0370535264427636,0.003600930950173256,1.2966703707915667e-05,82941.66666666667,0.230006,6.66848e-06
9,0.01,k1,dynamic,True,34.6033,755252532,59,9,2,16,126338.84444444445,2848,98,98,2848,0.000775691755223343,0.022542552233429394,0.0041816350760393636,1.7486071909162735e-05,29.06122448979592,0.000464008,4.04556e-06
9,0.01,k1,fixed,True,55.0521,1274820098,59,9,2,18,126338.84444444445,26334840,6626824,6626824,26334840,52.45278306240994,208.4461047257745,104.5637523780848,10933.578311385434,3.9739760705882636,0.699819,0.312606
9,0.01,optk,dynamic,True,34.6033,755252532,59,9,2,16,126338.84444444445,2848,98,98,2848,0.000775691755223343,0.022542552233429394,0.0041816350760393636,1.7486071909162735e-05,29.06122448979592,0.000464008,4.04556e-06
9,0.01,optk,fixed,True,55.0521,1274820098,59,9,2,18,126338.84444444445,26334840,6626824,6626824,26334840,52.45278306240994,208.4461047257745,104.5637523780848,10933.578311385434,3.9739760705882636,0.699819,0.312606
9,0.1,k1,dynamic,True,34.8827,755252532,59,9,2,16,1263934.5777777778,2848,46,46,2848,3.639428876206251e-05,0.002253281182485957,0.0002863678857999192,8.200656601751558e-08,61.91304347826087,4.63983e-05,2.81309e-07
9,0.1,k1,fixed,True,40.9685,747106542,59,9,2,16,1263934.5777777778,26334840,1071228,1071228,26334840,0.8475343730871021,20.83560372745031,4.202248248620718,17.658890343035885,24.583786084755065,0.113333,0.00606046
9,0.1,optk,dynamic,True,34.9686,755252532,59,9,2,16,1263934.5777777778,2848,46,46,2848,3.639428876206251e-05,0.002253281182485957,0.0002863678857999192,8.200656601751558e-08,61.91304347826087,0.000139177,8.43926e-07
9,0.1,optk,fixed,True,39.036,747106542,59,9,2,16,1263934.5777777778,26334840,263856,263856,26334840,0.20875764033919056,20.83560372745031,2.085567421395187,4.349591469184969,99.8076223394579,0.30287,0.00442799
9,0.5,k1,dynamic,True,34.9175,755252532,59,9,2,16,6319672.888888889,2848,46,46,2848,7.278857752412502e-06,0.0004506562364971914,5.7273577159983846e-05,3.2802626407006234e-09,61.91304347826087,9.27966e-06,5.62617e-08
9,0.5,k1,fixed,True,40.3357,747106542,59,9,2,16,6319672.888888889,26334840,223998,223998,26334840,0.035444556061410774,4.167120745490062,0.3843198471041931,0.14770174487819035,117.5672997080331,0.0237698,0.000254155
9,0.5,optk,dynamic,True,35.5638,755252532,59,9,2,16,6319672.888888889,2848,46,46,2848,7.278857752412502e-06,0.0004506562364971914,5.7273577159983846e-05,3.2802626407006234e-09,61.91304347826087,0.000120636,7.31402e-07
9,0.5,optk,fixed,True,48.6589,747106542,59,9,2,16,6319672.888888889,26334840,36,36,26334840,5.696497371453262e-06,4.167120745490062,0.004872165060136253,2.3737992373212498e-05,731523.3333333334,0.268556,1.05139e-06
