51,0,80064,31984,31096
51,1,117,74,75
53,0,688453,225356,186816
53,1,6800,3824,3819
55,0,3949981,1051929,484397
55,1,121628,55211,52698
57,0,24607730,5129745,577984
57,1,1102542,417791,297314
57,2,12643530,2639566,571817
57,3,1091384,413415,295372
57,4,12547734,2620367,571815
57,5,1091221,413562,295597
57,6,12571264,2623345,571647
57,7,1090503,413287,295294
57,8,12540071,2621950,571674
57,9,1090532,413272,295449
57,10,12590159,2623028,436767
57,11,1093094,414332,295727
57,12,12584562,2625403,571794
57,13,1090866,413376,295315
57,14,12547418,2621586,571679
57,15,1090411,413298,295355
57,16,12555186,2621198,571689
57,17,1089897,413182,295200
57,18,12522095,2620393,571727
57,19,1091113,413283,295262
57,20,12564375,2619103,571688
57,21,1090987,413325,295662
57,22,12585428,2625349,571506
57,23,1089936,413208,295145
57,24,12546732,2621470,571762
57,25,1090929,413320,295020
57,26,12568841,2619188,571644
57,27,1090950,413350,294850
57,28,12530628,2616204,571720
57,29,1091507,413373,295240
57,30,12547823,2619773,420928
57,31,1082599,410297,293679
57,32,12478637,2606949,571546
57,33,1090376,413219,295270
57,34,12562456,2623366,339790
57,35,1081871,409969,293271
57,36,12509658,2606951,571612
57,37,1090117,413225,295308
57,38,12564440,2621718,571667
57,39,1090994,413267,295335
57,40,12548145,2619998,571780
57,41,1090317,413330,295041
57,42,12561134,2619635,571766
57,43,1090153,413256,295206
57,44,12552636,2620696,571671
57,45,1090688,413233,295231
57,46,12558173,2620673,571785
57,47,1090234,413281,295170
57,48,12545515,2620246,348420
57,49,1081203,409528,293586
57,50,12509370,2606051,571543
57,51,1090730,413123,295493
57,52,12566135,2623933,571749
57,53,1091063,413412,295123
57,54,12582866,2620968,571768
57,55,1090221,413339,295111
57,56,12544880,2619648,415993
57,57,1081185,409760,293410
57,58,12474157,2604481,571435
57,59,1089744,413043,295017
57,60,12561247,2619564,571713
57,61,1090169,413205,295096
57,62,12574216,2621005,571515
57,63,1090315,413212,295251
